feature,importance_mean,importance_std
operating_mode,0.1843568630070978,0.010991748153271258
temperature_motor_rolling_3_mean,0.17280182596023685,0.007740820544084637
vibration_rms,0.08396078211004498,0.007696332785555173
hours_since_maintenance,0.08123021589344494,0.01211437542307784
temperature_motor,0.06868469752021485,0.008045044581744093
pressure_level_rolling_3_mean,0.04891603204556649,0.0076891695032202416
current_phase_avg,0.047106358032174764,0.007505686456206028
current_phase_avg_rolling_3_mean,0.025269787127345025,0.008000622045064413
vibration_rms_rolling_3_mean,0.02396873334300567,0.006097770979455487
hours_since_maintenance_rolling_3_mean,0.02138518849373773,0.007057170103454616
hours_since_maintenance_lag_3,0.017044624290041138,0.006585431571326744
temperature_motor_lag_1,0.009067900011041463,0.0032321115396960138
vibration_rms_lag_1,0.008927178567445043,0.002979545890210685
current_phase_avg_delta_1,0.008049350341041095,0.002161464227668348
pressure_level,0.0074094314834280695,0.005889365193482831
current_phase_avg_lag_3,0.004999707721960969,0.003284776203292364
timestamp_hours_since_machine_start,0.003987547755873122,0.003387463045841579
rpm,0.003648803226861133,0.00594259057879595
current_phase_avg_lag_1,0.0029942752540121215,0.0035368619685712584
hours_since_maintenance_lag_1,0.0019392546659577348,0.002894576729604942
pressure_level_lag_3,0.0015122806559640517,0.0039062490083173825
vibration_rms_lag_3,0.000664885261461759,0.0004795914839996117
temperature_motor_delta_1,0.0001410867462019877,0.001854894006530497
ambient_temp,0.00013961517652463784,0.0013395119726624819
machine_type,0.0,0.0
temperature_motor_lag_3,-6.0623504628681824e-05,0.001978014288947179
pressure_level_delta_1,-0.00021299832568946742,0.0015860445044794014
hours_since_maintenance_delta_1,-0.0008567559412739484,0.0017990500812537342
vibration_rms_delta_1,-0.0009080835426772127,0.0014657632690386856
timestamp_hour,-0.001177462100160731,0.007021406620428493
pressure_level_lag_1,-0.0016024112590104361,0.003778697128801253
timestamp_dayofweek,-0.001681124355365743,0.005672254555309603
